Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Team
1,Darius Garland,25.0,75,75,2301,554,1174,0.472,212,529,0.401,342,645,0.53,0.562,224,255,0.878,47,167,214,506,91,11,189,143,1544,0,CPOY-6AS,garlada01,Cleveland Cavaliers
2,Jarrett Allen,26.0,82,82,2296,452,640,0.706,0,5,0.0,452,635,0.712,0.706,199,277,0.718,216,582,798,158,77,73,97,127,1103,0,,allenja01,Cleveland Cavaliers
3,Donovan Mitchell,28.0,71,71,2232,585,1320,0.443,233,633,0.368,352,687,0.512,0.531,298,362,0.823,57,265,322,354,95,17,149,140,1701,0,MVP-5CPOY-9ASNBA1,mitchdo01,Cleveland Cavaliers
4,Evan Mobley,23.0,71,71,2167,505,906,0.557,85,230,0.37,420,676,0.621,0.604,221,305,0.725,164,495,659,226,61,113,145,141,1316,0,MVP-10DPOY-1ASNBA2DEF1,mobleev01,Cleveland Cavaliers
5,Sam Merrill,28.0,71,4,1401,172,424,0.406,137,368,0.372,35,56,0.625,0.567,28,29,0.966,38,119,157,108,53,14,35,124,509,0,,merrisa01,Cleveland Cavaliers
6,Ty Jerome,27.0,70,3,1392,319,618,0.516,111,253,0.439,208,365,0.57,0.606,129,148,0.872,50,123,173,237,78,3,92,102,878,0,6MOY-3,jeromty01,Cleveland Cavaliers
7,Max Strus,28.0,50,37,1273,165,373,0.442,113,293,0.386,52,80,0.65,0.594,28,34,0.824,53,164,217,158,26,12,54,104,471,0,,strusma01,Cleveland Cavaliers
8,Dean Wade,28.0,59,30,1252,112,271,0.413,80,222,0.36,32,49,0.653,0.561,16,30,0.533,51,198,249,76,42,20,22,101,320,0,,wadede01,Cleveland Cavaliers
9,Georges Niang,31.0,51,1,1053,166,348,0.477,90,225,0.4,76,123,0.618,0.606,23,29,0.793,34,155,189,67,17,7,48,129,445,0,,niangge01,Cleveland Cavaliers
10,Isaac Okoro,24.0,55,22,1053,124,267,0.464,56,151,0.371,68,116,0.586,0.569,33,46,0.717,49,81,130,68,32,16,23,104,337,0,,okorois01,Cleveland Cavaliers
11,Caris LeVert,30.0,38,3,904,135,298,0.453,60,148,0.405,75,150,0.5,0.554,58,83,0.699,22,85,107,140,33,19,51,48,388,0,,leverca01,Cleveland Cavaliers
12,De'Andre Hunter,27.0,27,5,676,131,270,0.485,60,141,0.426,71,129,0.55,0.596,64,78,0.821,17,96,113,35,19,8,23,67,386,0,6MOY-4,huntede01,Cleveland Cavaliers
13,Craig Porter Jr.,24.0,51,1,513,72,140,0.514,21,48,0.438,51,92,0.554,0.589,23,32,0.719,19,48,67,71,17,15,38,25,188,0,,portecr01,Cleveland Cavaliers
14,Jaylon Tyson,22.0,47,3,453,64,149,0.43,20,58,0.345,44,91,0.484,0.497,19,24,0.792,37,59,96,44,13,3,26,50,167,0,,tysonja01,Cleveland Cavaliers
15,Tristan Thompson,33.0,40,0,328,31,71,0.437,0,3,0.0,31,68,0.456,0.437,7,30,0.233,32,102,134,24,2,11,14,36,69,0,,thomptr01,Cleveland Cavaliers
16,Javonte Green,31.0,18,1,166,23,63,0.365,8,33,0.242,15,30,0.5,0.429,5,10,0.5,10,30,40,11,10,1,4,21,59,0,,greenja02,Cleveland Cavaliers
17,Luke Travers,23.0,12,0,88,5,20,0.25,0,9,0.0,5,11,0.455,0.25,2,2,1.0,8,12,20,8,1,1,8,6,12,0,,travelu01,Cleveland Cavaliers
18,Emoni Bates,21.0,10,0,75,13,38,0.342,11,30,0.367,2,8,0.25,0.487,0,0,,0,7,7,8,1,1,2,4,37,0,,batesem01,Cleveland Cavaliers
19,Nae'Qwan Tomlin,24.0,5,1,63,13,32,0.406,2,10,0.2,11,22,0.5,0.438,8,11,0.727,9,12,21,2,0,1,2,9,36,0,,tomlina01,Cleveland Cavaliers
20,JT Thor,22.0,9,0,42,9,15,0.6,3,6,0.5,6,9,0.667,0.7,7,8,0.875,3,3,6,1,2,3,6,6,28,0,,thorjt01,Cleveland Cavaliers
21,Chuma Okeke,26.0,2,0,25,2,7,0.286,1,6,0.167,1,1,1.0,0.357,0,0,,1,3,4,2,0,1,0,0,5,0,,okekech01,Cleveland Cavaliers
22,Team Totals,,82,82,19753,3652,7444,0.491,1303,3401,0.383,2349,4043,0.581,0.578,1392,1793,0.776,917,2806,3723,2304,670,350,1028,1487,9999,0,,-9999,Cleveland Cavaliers
23,Yves Missi,20.0,73,67,1956,269,492,0.547,0,1,0.0,269,491,0.548,0.547,127,204,0.623,255,346,601,99,37,98,82,145,665,0,,missiyv01,New Orleans Pelicans
24,Trey Murphy III,24.0,53,51,1854,381,839,0.454,158,438,0.361,223,401,0.556,0.548,204,230,0.887,47,221,268,188,56,39,103,112,1124,0,,murphtr02,New Orleans Pelicans
25,CJ McCollum,33.0,56,56,1832,444,1000,0.444,171,459,0.373,273,541,0.505,0.53,124,173,0.717,42,170,212,227,46,24,106,124,1183,0,,mccolcj01,New Orleans Pelicans
26,Jose Alvarado,26.0,56,23,1366,204,521,0.392,111,309,0.359,93,212,0.439,0.498,60,74,0.811,27,109,136,259,74,14,86,91,579,0,,alvarjo01,New Orleans Pelicans
27,Jordan Hawkins,22.0,56,9,1321,207,556,0.372,110,332,0.331,97,224,0.433,0.471,80,98,0.816,25,133,158,66,30,23,58,51,604,0,,hawkijo01,New Orleans Pelicans
28,Jeremiah Robinson-Earl,24.0,66,9,1239,158,347,0.455,56,164,0.341,102,183,0.557,0.536,46,55,0.836,110,205,315,88,39,7,51,79,418,0,,robinje02,New Orleans Pelicans
29,Javonte Green,31.0,50,18,1092,100,224,0.446,38,108,0.352,62,116,0.534,0.531,50,66,0.758,49,129,178,45,55,30,28,77,288,0,,greenja02,New Orleans Pelicans
30,Dejounte Murray,28.0,31,31,1012,194,494,0.393,52,174,0.299,142,320,0.444,0.445,102,124,0.823,17,183,200,228,63,12,106,61,542,1,,murrade01,New Orleans Pelicans
31,Brandon Boston Jr.,23.0,42,10,993,166,381,0.436,49,140,0.35,117,241,0.485,0.5,67,85,0.788,28,106,134,92,53,9,52,73,448,0,,bostobr01,New Orleans Pelicans
32,Zion Williamson,24.0,30,30,857,288,508,0.567,3,13,0.231,285,495,0.576,0.57,158,241,0.656,76,140,216,159,37,27,90,82,737,2,,willizi01,New Orleans Pelicans
33,Karlo Matković,23.0,42,7,791,135,235,0.574,21,66,0.318,114,169,0.675,0.619,34,44,0.773,64,145,209,46,22,41,43,106,325,0,,matkoka01,New Orleans Pelicans
34,Antonio Reeves,24.0,44,6,660,113,248,0.456,51,129,0.395,62,119,0.521,0.558,28,35,0.8,18,45,63,39,21,4,30,40,305,0,,reevean01,New Orleans Pelicans
35,Herbert Jones,26.0,20,20,648,75,172,0.436,22,72,0.306,53,100,0.53,0.5,33,40,0.825,22,56,78,65,37,9,35,66,205,0,,joneshe01,New Orleans Pelicans
36,Daniel Theis,32.0,38,9,621,61,129,0.473,9,37,0.243,52,92,0.565,0.508,31,37,0.838,44,120,164,60,18,20,25,70,162,0,,theisda01,New Orleans Pelicans
37,Brandon Ingram,27.0,18,18,595,155,333,0.465,43,115,0.374,112,218,0.514,0.53,47,55,0.855,17,83,100,93,16,11,69,45,400,0,,ingrabr01,New Orleans Pelicans
38,Bruce Brown,28.0,23,12,569,73,178,0.41,16,45,0.356,57,133,0.429,0.455,27,36,0.75,23,73,96,56,17,7,20,45,189,0,,brownbr01,New Orleans Pelicans
39,Kelly Olynyk,33.0,20,20,508,75,150,0.5,14,36,0.389,61,114,0.535,0.547,49,65,0.754,37,80,117,72,17,11,41,64,213,0,,olynyke01,New Orleans Pelicans
40,Jamal Cain,25.0,37,0,502,68,158,0.43,26,80,0.325,42,78,0.538,0.513,34,50,0.68,27,58,85,22,23,9,22,46,196,0,,cainja01,New Orleans Pelicans
41,Elfrid Payton,30.0,18,7,388,37,101,0.366,1,6,0.167,36,95,0.379,0.371,4,7,0.571,14,52,66,146,18,8,52,24,79,0,,paytoel01,New Orleans Pelicans
42,Keion Brooks Jr.,24.0,14,6,332,53,109,0.486,14,43,0.326,39,66,0.591,0.55,22,30,0.733,12,46,58,13,10,10,12,30,142,0,,brookke02,New Orleans Pelicans
43,Jaylen Nowell,25.0,8,0,168,26,73,0.356,8,27,0.296,18,46,0.391,0.411,7,11,0.636,6,14,20,18,1,4,8,9,67,0,,nowelja01,New Orleans Pelicans
44,Trey Jemison,25.0,16,0,166,15,32,0.469,0,0,,15,32,0.469,0.469,8,21,0.381,22,22,44,10,7,6,10,27,38,0,,jemistr01,New Orleans Pelicans
45,Lester Quiñones,24.0,9,0,166,27,70,0.386,13,41,0.317,14,29,0.483,0.479,10,12,0.833,1,14,15,23,3,2,10,18,77,0,,quinole01,New Orleans Pelicans
46,Mo Bamba,26.0,4,0,61,4,9,0.444,0,4,0.0,4,5,0.8,0.444,2,2,1.0,6,19,25,2,0,3,1,7,10,0,,bambamo01,New Orleans Pelicans
47,Kylor Kelley,27.0,3,1,59,4,9,0.444,0,0,,4,9,0.444,0.444,2,4,0.5,4,14,18,3,1,1,3,7,10,0,,kelleky01,New Orleans Pelicans
48,Team Totals,,82,82,19756,3332,7368,0.452,986,2839,0.347,2346,4529,0.518,0.519,1356,1799,0.754,993,2583,3576,2119,701,429,1143,1499,9006,3,,-9999,New Orleans Pelicans
49,Stephen Curry,36.0,70,70,2252,564,1258,0.448,311,784,0.397,253,474,0.534,0.572,279,299,0.933,40,270,310,421,80,30,200,95,1718,0,MVP-9CPOY-5ASNBA2,curryst01,Golden State Warriors
50,Draymond Green,34.0,68,66,1983,216,509,0.424,80,246,0.325,136,263,0.517,0.503,101,147,0.687,74,340,414,383,99,70,174,219,613,1,DPOY-3DEF1,greendr01,Golden State Warriors
51,Buddy Hield,32.0,82,22,1863,328,786,0.417,203,549,0.37,125,237,0.527,0.546,53,64,0.828,51,213,264,134,69,23,91,132,912,0,,hieldbu01,Golden State Warriors
52,Brandin Podziemski,21.0,64,33,1716,280,629,0.445,115,309,0.372,165,320,0.516,0.537,72,95,0.758,65,260,325,220,69,13,75,95,747,0,,podzibr01,Golden State Warriors
53,Moses Moody,22.0,74,34,1649,246,568,0.433,126,337,0.374,120,231,0.519,0.544,106,133,0.797,52,137,189,96,59,31,54,116,724,0,,moodymo01,Golden State Warriors
54,Andrew Wiggins,29.0,43,43,1296,261,588,0.444,94,248,0.379,167,340,0.491,0.524,139,179,0.777,66,131,197,102,40,33,56,70,755,0,,wiggian01,Golden State Warriors
55,Jonathan Kuminga,22.0,47,10,1144,258,568,0.454,46,151,0.305,212,417,0.508,0.495,157,235,0.668,56,161,217,104,38,21,71,90,719,0,,kuminjo01,Golden State Warriors
56,Kevon Looney,28.0,76,6,1142,143,278,0.514,2,5,0.4,141,273,0.516,0.518,56,99,0.566,185,277,462,118,46,37,39,154,344,0,,looneke01,Golden State Warriors
57,Jimmy Butler,35.0,30,30,980,159,334,0.476,19,68,0.279,140,266,0.526,0.504,201,231,0.87,70,95,165,178,50,8,44,29,538,2,,butleji01,Golden State Warriors
58,Trayce Jackson-Davis,24.0,62,37,967,174,302,0.576,0,3,0.0,174,299,0.582,0.576,59,102,0.578,122,189,311,104,23,38,45,73,407,0,,jackstr02,Golden State Warriors
59,Gary Payton II,32.0,62,11,927,171,298,0.574,31,95,0.326,140,203,0.69,0.626,27,38,0.711,53,132,185,83,52,17,39,108,400,0,,paytoga02,Golden State Warriors
60,Gui Santos,22.0,56,2,762,82,179,0.458,34,103,0.33,48,76,0.632,0.553,29,42,0.69,72,100,172,80,25,10,42,91,227,0,,santogu01,Golden State Warriors
61,Quinten Post,24.0,42,14,686,123,274,0.449,73,179,0.408,50,95,0.526,0.582,21,27,0.778,35,113,148,56,16,18,33,83,340,0,,postqu01,Golden State Warriors
62,Lindy Waters III,27.0,38,9,655,76,205,0.371,49,148,0.331,27,57,0.474,0.49,8,11,0.727,16,80,96,42,22,10,17,55,209,0,,waterli01,Golden State Warriors
63,Dennis Schröder,31.0,24,18,628,94,251,0.375,37,115,0.322,57,136,0.419,0.448,29,39,0.744,10,46,56,105,25,3,48,67,254,0,,schrode01,Golden State Warriors
64,Kyle Anderson,31.0,36,3,541,76,169,0.45,19,52,0.365,57,117,0.487,0.506,18,27,0.667,27,83,110,81,26,20,20,40,189,0,,anderky01,Golden State Warriors
65,Pat Spencer,28.0,39,0,250,41,101,0.406,5,22,0.227,36,79,0.456,0.431,11,15,0.733,15,31,46,48,14,3,18,20,98,0,,spencpa01,Golden State Warriors
66,De'Anthony Melton,26.0,6,2,121,22,54,0.407,13,35,0.371,9,19,0.474,0.528,5,8,0.625,6,14,20,17,7,2,10,18,62,0,,meltode01,Golden State Warriors
67,Kevin Knox,25.0,14,0,84,18,36,0.5,4,15,0.267,14,21,0.667,0.556,6,8,0.75,7,10,17,5,2,4,4,6,46,0,,knoxke01,Golden State Warriors
68,Jackson Rowe,28.0,6,0,52,8,17,0.471,3,10,0.3,5,7,0.714,0.559,3,6,0.5,3,8,11,4,4,0,1,4,22,0,,roweja01,Golden State Warriors
69,Yuri Collins,23.0,2,0,16,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,1,3,4,2,0,0,5,2,0,,colliyu01,Golden State Warriors
70,Braxton Key,27.0,3,0,11,0,4,0.0,0,1,0.0,0,3,0.0,0.0,3,6,0.5,1,1,2,0,2,0,1,0,3,0,,keybr01,Golden State Warriors
71,Reece Beekman,23.0,2,0,4,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,0,1,1,1,0,0,1,2,0,,beekmre01,Golden State Warriors
72,Team Totals,,82,82,19729,3342,7412,0.451,1264,3475,0.364,2078,3937,0.528,0.536,1383,1811,0.764,1029,2692,3721,2386,771,391,1082,1571,9331,3,,-9999,Golden State Warriors
73,Anthony Edwards,23.0,79,79,2871,721,1612,0.447,320,811,0.395,401,801,0.501,0.547,415,496,0.837,61,389,450,359,91,51,249,150,2177,0,MVP-7CPOY-3ASNBA2,edwaran01,Minnesota Timberwolves
74,Jaden McDaniels,24.0,82,82,2614,398,834,0.477,100,303,0.33,298,531,0.561,0.537,104,128,0.813,129,341,470,163,110,74,95,225,1000,0,,mcdanja02,Minnesota Timberwolves
75,Rudy Gobert,32.0,72,72,2388,341,510,0.669,0,0,,341,510,0.669,0.669,184,273,0.674,265,520,785,127,56,104,89,182,866,0,DPOY-13DEF2,goberru01,Minnesota Timberwolves
76,Julius Randle,30.0,69,69,2226,455,939,0.485,108,314,0.344,347,625,0.555,0.542,270,335,0.806,144,343,487,323,47,16,196,175,1288,0,,randlju01,Minnesota Timberwolves
77,Naz Reid,25.0,80,17,2200,426,923,0.462,175,462,0.379,251,461,0.544,0.556,111,143,0.776,92,388,480,181,58,72,108,189,1138,0,6MOY-5,reidna01,Minnesota Timberwolves
78,Nickeil Alexander-Walker,26.0,82,10,2073,270,616,0.438,141,370,0.381,129,246,0.524,0.553,92,118,0.78,54,211,265,223,50,34,99,139,773,0,6MOY-6,alexani01,Minnesota Timberwolves
79,Mike Conley,37.0,71,64,1756,187,468,0.4,127,310,0.41,60,158,0.38,0.535,81,90,0.9,32,150,182,319,79,14,75,111,582,0,,conlemi01,Minnesota Timberwolves
80,Donte DiVincenzo,28.0,62,10,1606,250,593,0.422,174,438,0.397,76,155,0.49,0.568,49,63,0.778,32,196,228,225,73,17,99,114,723,0,,divindo01,Minnesota Timberwolves
81,Jaylen Clark,23.0,40,4,522,56,120,0.467,22,51,0.431,34,69,0.493,0.558,29,37,0.784,26,27,53,26,36,2,8,61,163,0,,clarkja02,Minnesota Timberwolves
82,Rob Dillingham,20.0,49,1,516,93,211,0.441,25,74,0.338,68,137,0.496,0.5,8,15,0.533,12,38,50,98,20,1,53,37,219,0,,dilliro01,Minnesota Timberwolves
83,Terrence Shannon Jr.,24.0,32,1,339,55,114,0.482,11,31,0.355,44,83,0.53,0.531,17,21,0.81,10,37,47,32,7,5,15,27,138,0,,shannte01,Minnesota Timberwolves
84,Josh Minott,22.0,46,0,276,44,90,0.489,14,43,0.326,30,47,0.638,0.567,17,19,0.895,12,35,47,18,15,12,11,34,119,0,,minotjo01,Minnesota Timberwolves
85,Luka Garza,26.0,39,0,219,52,105,0.495,10,36,0.278,42,69,0.609,0.543,24,35,0.686,31,23,54,11,6,3,12,29,138,0,,garzalu01,Minnesota Timberwolves
86,Joe Ingles,37.0,19,1,114,6,23,0.261,3,15,0.2,3,8,0.375,0.326,0,0,,2,9,11,23,2,0,9,12,15,0,,inglejo01,Minnesota Timberwolves
87,PJ Dozier,28.0,9,0,35,2,3,0.667,2,3,0.667,0,0,,1.0,1,6,0.167,1,4,5,5,1,0,1,3,7,0,,doziepj01,Minnesota Timberwolves
88,Leonard Miller,21.0,13,0,32,6,15,0.4,0,5,0.0,6,10,0.6,0.4,8,8,1.0,3,8,11,0,2,1,2,2,20,0,,millele01,Minnesota Timberwolves
89,Bones Hyland,24.0,4,0,17,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,0,1,1,4,0,0,1,3,5,0,,hylanbo01,Minnesota Timberwolves
90,Daishen Nix,22.0,3,0,13,0,1,0.0,0,1,0.0,0,0,,0.0,1,2,0.5,0,4,4,3,0,0,4,1,1,0,,nixda01,Minnesota Timberwolves
91,Tristen Newton,23.0,3,0,8,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,2,2,4,1,1,0,1,2,0,0,,newtotr01,Minnesota Timberwolves
92,Jesse Edwards,24.0,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0,0,,edwarje01,Minnesota Timberwolves
93,Team Totals,,82,82,19830,3364,7182,0.468,1233,3269,0.377,2131,3913,0.545,0.554,1411,1789,0.789,908,2726,3634,2142,654,406,1127,1498,9372,0,,-9999,Minnesota Timberwolves
94,James Harden,35.0,79,79,2789,531,1295,0.41,235,668,0.352,296,627,0.472,0.501,505,578,0.874,55,401,456,687,118,55,341,162,1802,3,MVP-10ASNBA3,hardeja01,Los Angeles Clippers
95,Ivica Zubac,27.0,80,80,2624,592,942,0.628,0,0,,592,942,0.628,0.628,156,236,0.661,300,710,1010,214,55,90,127,168,1340,1,DPOY-6DEF2,zubaciv01,Los Angeles Clippers
96,Norman Powell,31.0,60,60,1958,457,945,0.484,179,428,0.418,278,517,0.538,0.578,213,265,0.804,21,169,190,125,73,9,108,114,1306,0,,powelno01,Los Angeles Clippers
97,Derrick Jones Jr.,27.0,77,55,1873,310,589,0.526,78,219,0.356,232,370,0.627,0.593,83,118,0.703,93,170,263,60,79,33,66,153,781,0,,jonesde02,Los Angeles Clippers
98,Kris Dunn,30.0,74,58,1783,192,437,0.439,75,224,0.335,117,213,0.549,0.525,15,22,0.682,53,198,251,210,128,27,74,197,474,0,,dunnkr01,Los Angeles Clippers
99,Amir Coffey,27.0,72,13,1748,240,510,0.471,101,247,0.409,139,263,0.529,0.57,115,129,0.891,32,129,161,77,40,7,45,120,696,0,,coffeam01,Los Angeles Clippers
100,Nicolas Batum,36.0,78,8,1367,104,238,0.437,88,203,0.433,16,35,0.457,0.622,17,21,0.81,47,171,218,84,52,36,34,111,313,0,,batumni01,Los Angeles Clippers
101,Kawhi Leonard,33.0,37,37,1180,310,623,0.498,78,190,0.411,232,433,0.536,0.56,98,121,0.81,35,184,219,116,59,17,72,56,796,0,,leonaka01,Los Angeles Clippers
102,Kevin Porter Jr.,24.0,45,2,884,172,407,0.423,26,106,0.245,146,301,0.485,0.455,49,76,0.645,29,131,160,144,43,11,84,70,419,0,,porteke02,Los Angeles Clippers
103,Bogdan Bogdanović,32.0,30,4,750,127,268,0.474,61,143,0.427,66,125,0.528,0.588,28,32,0.875,12,81,93,97,21,5,37,70,343,0,,bogdabo01,Los Angeles Clippers
104,Terance Mann,28.0,37,12,732,87,195,0.446,26,75,0.347,61,120,0.508,0.513,23,32,0.719,32,75,107,59,28,11,25,68,223,0,,mannte01,Los Angeles Clippers
105,Jordan Miller,25.0,37,0,420,58,134,0.433,8,38,0.211,50,96,0.521,0.463,28,35,0.8,23,35,58,34,17,5,26,26,152,0,,millejo02,Los Angeles Clippers
106,Mo Bamba,26.0,28,2,352,48,103,0.466,15,50,0.3,33,53,0.623,0.539,17,25,0.68,26,94,120,16,9,28,19,49,128,0,,bambamo01,Los Angeles Clippers
107,Ben Simmons,28.0,18,0,295,23,53,0.434,0,0,,23,53,0.434,0.434,6,7,0.857,17,52,69,56,12,7,14,26,52,0,,simmobe01,Los Angeles Clippers
108,Kobe Brown,25.0,40,0,272,33,72,0.458,6,26,0.231,27,46,0.587,0.5,5,7,0.714,19,46,65,24,7,4,12,23,77,0,,brownko01,Los Angeles Clippers
109,Bones Hyland,24.0,20,0,222,45,115,0.391,31,80,0.388,14,35,0.4,0.526,23,26,0.885,5,19,24,28,18,4,24,26,144,0,,hylanbo01,Los Angeles Clippers
110,Kai Jones,24.0,28,0,208,26,36,0.722,0,2,0.0,26,34,0.765,0.722,9,12,0.75,15,31,46,10,6,13,10,23,61,0,,joneska01,Los Angeles Clippers
111,Drew Eubanks,27.0,24,0,178,27,49,0.551,0,1,0.0,27,48,0.563,0.551,11,14,0.786,20,38,58,9,2,7,10,17,65,0,,eubandr01,Los Angeles Clippers
112,Patty Mills,36.0,12,0,61,10,20,0.5,9,18,0.5,1,2,0.5,0.725,8,9,0.889,1,0,1,5,1,0,1,12,37,0,,millspa02,Los Angeles Clippers
113,Cam Christie,19.0,13,0,59,7,24,0.292,2,13,0.154,5,11,0.455,0.333,2,4,0.5,3,9,12,6,5,1,2,4,18,0,,chrisca02,Los Angeles Clippers
114,Trentyn Flowers,19.0,6,0,27,4,11,0.364,0,2,0.0,4,9,0.444,0.364,3,3,1.0,1,3,4,0,0,0,1,4,11,0,,flowetr01,Los Angeles Clippers
115,MarJon Beauchamp,24.0,3,0,17,4,7,0.571,2,3,0.667,2,4,0.5,0.714,2,4,0.5,2,1,3,2,0,0,1,2,12,0,,beaucma01,Los Angeles Clippers
116,Patrick Baldwin Jr.,22.0,2,0,6,2,2,1.0,2,2,1.0,0,0,,1.5,0,0,,0,3,3,1,0,0,0,2,6,0,,baldwpa01,Los Angeles Clippers
117,Team Totals,,82,82,19805,3409,7075,0.482,1022,2738,0.373,2387,4337,0.55,0.554,1416,1776,0.797,841,2750,3591,2064,773,370,1133,1503,9256,4,,-9999,Los Angeles Clippers
118,Pascal Siakam,30.0,78,78,2548,613,1182,0.519,126,324,0.389,487,858,0.568,0.572,226,308,0.734,133,407,540,263,70,42,109,189,1578,0,AS,siakapa01,Indiana Pacers
119,Tyrese Haliburton,24.0,73,73,2451,476,1006,0.473,218,562,0.388,258,444,0.581,0.582,189,222,0.851,42,216,258,673,105,49,120,92,1359,0,NBA3,halibty01,Indiana Pacers
120,Myles Turner,28.0,72,72,2174,390,811,0.481,156,394,0.396,234,417,0.561,0.577,184,238,0.773,90,381,471,111,54,144,123,183,1120,0,,turnemy01,Indiana Pacers
121,Bennedict Mathurin,22.0,72,49,2149,391,853,0.458,98,288,0.34,293,565,0.519,0.516,276,332,0.831,87,296,383,136,47,24,135,162,1156,0,,mathube01,Indiana Pacers
122,Andrew Nembhard,25.0,65,65,1881,247,539,0.458,51,175,0.291,196,364,0.538,0.506,108,136,0.794,34,182,216,326,79,11,112,149,653,0,,nembhan01,Indiana Pacers
123,Obi Toppin,26.0,79,4,1545,317,599,0.529,110,301,0.365,207,298,0.695,0.621,89,114,0.781,56,262,318,128,46,28,68,108,833,0,,toppiob01,Indiana Pacers
124,T.J. McConnell,32.0,79,1,1415,324,624,0.519,15,49,0.306,309,575,0.537,0.531,57,77,0.74,44,149,193,351,83,21,109,79,720,0,,mccontj01,Indiana Pacers
125,Ben Sheppard,23.0,63,9,1228,120,287,0.418,68,199,0.342,52,88,0.591,0.537,24,27,0.889,44,133,177,85,38,14,22,125,332,0,,sheppbe01,Indiana Pacers
126,Jarace Walker,21.0,75,5,1187,170,360,0.472,75,185,0.405,95,175,0.543,0.576,46,69,0.667,25,204,229,110,54,25,78,115,461,0,,walkeja02,Indiana Pacers
127,Aaron Nesmith,25.0,45,37,1123,192,379,0.507,84,195,0.431,108,184,0.587,0.617,73,80,0.913,37,141,178,54,35,17,37,114,541,0,,nesmiaa01,Indiana Pacers
128,Thomas Bryant,27.0,56,8,848,151,293,0.515,42,131,0.321,109,162,0.673,0.587,44,53,0.83,77,142,219,49,27,32,28,67,388,0,,bryanth01,Indiana Pacers
129,Quenton Jackson,26.0,28,7,381,58,122,0.475,15,40,0.375,43,82,0.524,0.537,31,40,0.775,14,30,44,53,21,5,16,43,162,0,,jacksqu01,Indiana Pacers
130,Johnny Furphy,20.0,50,0,379,35,92,0.38,15,50,0.3,20,42,0.476,0.462,18,22,0.818,23,48,71,19,18,11,12,41,103,0,,furphjo01,Indiana Pacers
131,Enrique Freeman,24.0,22,1,181,16,37,0.432,1,10,0.1,15,27,0.556,0.446,13,19,0.684,11,19,30,9,3,3,6,21,46,0,,freemen01,Indiana Pacers
132,Tony Bradley,27.0,14,0,113,29,45,0.644,1,3,0.333,28,42,0.667,0.656,2,6,0.333,18,24,42,6,2,9,5,11,61,0,,bradlto01,Indiana Pacers
133,Isaiah Jackson,23.0,5,1,84,14,23,0.609,0,0,,14,23,0.609,0.609,7,14,0.5,11,17,28,5,3,8,5,14,35,0,,jacksis01,Indiana Pacers
