Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Team
134,RayJ Dennis,23.0,11,0,70,11,33,0.333,6,21,0.286,5,12,0.417,0.424,2,2,1.0,2,10,12,14,7,2,5,7,30,0,,dennira01,Indiana Pacers
135,Moses Brown,25.0,9,0,46,13,20,0.65,0,0,,13,20,0.65,0.65,3,5,0.6,4,9,13,0,2,1,6,6,29,0,,brownmo01,Indiana Pacers
136,James Johnson,37.0,12,0,37,4,11,0.364,0,3,0.0,4,8,0.5,0.364,0,1,0.0,0,6,6,4,0,2,4,5,8,0,,johnsja01,Indiana Pacers
137,Tristen Newton,23.0,5,0,8,1,6,0.167,0,3,0.0,1,3,0.333,0.167,1,1,1.0,0,0,0,1,0,0,1,2,3,0,,newtotr01,Indiana Pacers
138,James Wiseman,23.0,1,0,5,2,4,0.5,0,1,0.0,2,3,0.667,0.5,2,2,1.0,0,1,1,0,0,0,0,0,6,0,,wisemja01,Indiana Pacers
139,Jahlil Okafor,29.0,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0,0,,okafoja01,Indiana Pacers
140,Team Totals,,82,82,19856,3574,7326,0.488,1081,2934,0.368,2493,4392,0.568,0.562,1395,1768,0.789,752,2678,3430,2398,694,448,1001,1533,9624,0,,-9999,Indiana Pacers
141,Miles Bridges,26.0,64,64,2029,469,1089,0.431,141,450,0.313,328,639,0.513,0.495,221,254,0.87,72,409,481,248,44,45,136,93,1300,1,,bridgmi02,Charlotte Hornets
142,Josh Green,24.0,68,67,1887,180,421,0.428,97,248,0.391,83,173,0.48,0.543,49,72,0.681,56,116,172,108,74,15,70,165,506,0,,greenjo02,Charlotte Hornets
143,LaMelo Ball,23.0,47,47,1505,406,1003,0.405,179,528,0.339,227,475,0.478,0.494,193,229,0.843,47,185,232,346,54,13,167,157,1184,0,,ballla01,Charlotte Hornets
144,Nick Smith Jr.,20.0,60,27,1369,222,568,0.391,104,306,0.34,118,262,0.45,0.482,43,46,0.935,13,115,128,145,17,6,82,79,591,0,,smithni01,Charlotte Hornets
145,Tidjane Salaün,19.0,60,10,1244,114,345,0.33,58,205,0.283,56,140,0.4,0.414,67,94,0.713,70,210,280,74,29,14,58,84,353,0,,salauti01,Charlotte Hornets
146,Moussa Diabaté,23.0,71,8,1241,167,280,0.596,0,6,0.0,167,274,0.609,0.596,69,116,0.595,187,251,438,56,46,40,61,109,403,0,,diabamo01,Charlotte Hornets
147,Mark Williams,23.0,44,41,1171,270,447,0.604,0,4,0.0,270,443,0.609,0.604,131,163,0.804,132,315,447,109,32,54,71,105,671,0,,willima07,Charlotte Hornets
148,DaQuan Jeffries,27.0,47,20,1071,118,291,0.405,55,164,0.335,63,127,0.496,0.5,24,30,0.8,37,98,135,53,26,25,35,99,315,0,,jeffrda01,Charlotte Hornets
149,Seth Curry,34.0,68,14,1062,164,343,0.478,83,182,0.456,81,161,0.503,0.599,33,39,0.846,24,89,113,60,27,7,32,59,444,0,,curryse01,Charlotte Hornets
150,Cody Martin,29.0,39,8,967,116,268,0.433,40,124,0.323,76,144,0.528,0.507,34,49,0.694,40,136,176,89,43,26,42,72,306,0,,martico01,Charlotte Hornets
151,Brandon Miller,22.0,27,27,924,198,491,0.403,104,293,0.355,94,198,0.475,0.509,68,79,0.861,25,106,131,98,29,20,76,74,568,0,,millebr02,Charlotte Hornets
152,KJ Simpson,22.0,36,15,842,104,301,0.346,33,130,0.254,71,171,0.415,0.4,41,50,0.82,39,70,109,112,34,6,56,56,282,0,,simpskj01,Charlotte Hornets
153,Vasilije Micić,31.0,36,16,764,95,273,0.348,45,125,0.36,50,148,0.338,0.43,34,41,0.829,20,67,87,127,15,0,74,44,269,0,,micicva01,Charlotte Hornets
154,Grant Williams,26.0,16,7,479,54,123,0.439,27,74,0.365,27,49,0.551,0.549,31,37,0.838,18,64,82,37,18,13,28,46,166,0,,willigr01,Charlotte Hornets
155,Jusuf Nurkić,30.0,26,9,471,94,189,0.497,13,46,0.283,81,143,0.566,0.532,37,59,0.627,39,130,169,68,17,18,40,52,238,0,,nurkiju01,Charlotte Hornets
156,Nick Richards,27.0,21,9,440,64,114,0.561,0,1,0.0,64,113,0.566,0.561,59,87,0.678,51,107,158,28,7,26,33,48,187,0,,richani01,Charlotte Hornets
157,Taj Gibson,39.0,37,11,409,47,95,0.495,1,2,0.5,46,93,0.495,0.5,12,20,0.6,51,69,120,21,9,18,25,54,107,0,,gibsota01,Charlotte Hornets
158,Damion Baugh,24.0,15,2,370,42,130,0.323,12,56,0.214,30,74,0.405,0.369,13,15,0.867,14,36,50,56,15,2,31,22,109,0,,baughda01,Charlotte Hornets
159,Tre Mann,23.0,13,0,319,70,161,0.435,24,60,0.4,46,101,0.455,0.509,19,21,0.905,12,26,38,39,7,4,25,24,183,0,,manntr01,Charlotte Hornets
160,Wendell Moore Jr.,23.0,16,0,280,36,76,0.474,10,27,0.37,26,49,0.531,0.539,5,8,0.625,19,32,51,19,10,2,18,16,87,0,,moorewe01,Charlotte Hornets
161,Josh Okogie,26.0,15,6,274,38,98,0.388,16,50,0.32,22,48,0.458,0.469,41,53,0.774,13,28,41,19,27,8,15,19,133,0,,okogijo01,Charlotte Hornets
162,Isaiah Wong,24.0,20,0,265,41,105,0.39,13,33,0.394,28,72,0.389,0.452,25,34,0.735,14,18,32,28,11,0,18,21,120,0,,wongis01,Charlotte Hornets
163,Elfrid Payton,30.0,6,2,123,3,21,0.143,0,0,,3,21,0.143,0.143,0,0,,1,12,13,20,6,3,7,12,6,0,,paytoel01,Charlotte Hornets
164,Jaylen Sims,26.0,6,0,112,12,28,0.429,6,15,0.4,6,13,0.462,0.536,12,15,0.8,3,3,6,12,3,1,8,10,42,0,,simsja01,Charlotte Hornets
165,Marcus Garrett,26.0,4,0,79,11,27,0.407,3,8,0.375,8,19,0.421,0.463,3,4,0.75,1,5,6,13,3,2,6,10,28,0,,garrema01,Charlotte Hornets
166,Malachi Flynn,26.0,4,0,44,5,13,0.385,1,4,0.25,4,9,0.444,0.423,5,6,0.833,3,4,7,7,3,0,4,4,16,0,,flynnma01,Charlotte Hornets
167,Jared Rhoden,25.0,4,0,12,2,8,0.25,0,2,0.0,2,6,0.333,0.25,0,0,,2,2,4,2,1,0,1,1,4,0,,rhodeja01,Charlotte Hornets
168,Team Totals,,82,82,19753,3142,7308,0.43,1065,3143,0.339,2077,4165,0.499,0.503,1269,1621,0.783,1003,2703,3706,1994,607,368,1219,1535,8618,1,,-9999,Charlotte Hornets
169,Trae Young,26.0,76,76,2739,566,1376,0.411,218,642,0.34,348,734,0.474,0.491,491,561,0.875,36,200,236,880,91,12,355,145,1841,0,CPOY-4AS,youngtr01,Atlanta Hawks
170,Dyson Daniels,21.0,76,76,2571,455,923,0.493,80,235,0.34,375,688,0.545,0.536,83,140,0.593,124,325,449,333,229,55,155,175,1073,0,DPOY-2MIP-1DEF1,daniedy01,Atlanta Hawks
171,Onyeka Okongwu,24.0,74,40,2064,388,684,0.567,48,148,0.324,340,536,0.634,0.602,164,216,0.759,220,440,660,168,69,68,90,193,988,0,,okongon01,Atlanta Hawks
172,Zaccharie Risacher,19.0,75,73,1843,357,779,0.458,122,344,0.355,235,435,0.54,0.537,106,149,0.711,86,182,268,92,52,37,92,149,942,0,ROY-2,risacza01,Atlanta Hawks
173,Jalen Johnson,23.0,36,36,1284,271,542,0.5,44,141,0.312,227,401,0.566,0.541,94,126,0.746,62,297,359,181,56,36,106,67,680,1,,johnsja05,Atlanta Hawks
174,Clint Capela,30.0,55,41,1176,218,390,0.559,0,1,0.0,218,389,0.56,0.559,52,97,0.536,174,295,469,62,34,53,47,106,488,0,,capelca01,Atlanta Hawks
175,Vit Krejci,24.0,57,16,1153,145,292,0.497,90,206,0.437,55,86,0.64,0.651,32,45,0.711,22,134,156,147,36,26,50,105,412,0,,krejcvi01,Atlanta Hawks
176,De'Andre Hunter,27.0,37,4,1064,227,492,0.461,97,247,0.393,130,245,0.531,0.56,151,176,0.858,27,118,145,57,31,5,59,88,702,0,6MOY-4,huntede01,Atlanta Hawks
177,Garrison Mathews,28.0,47,2,830,102,257,0.397,85,218,0.39,17,39,0.436,0.562,64,78,0.821,13,74,87,60,26,15,31,81,353,0,,mathega01,Atlanta Hawks
178,Caris LeVert,30.0,26,0,692,145,301,0.482,46,136,0.338,99,165,0.6,0.558,52,72,0.722,19,77,96,75,24,14,25,51,388,0,,leverca01,Atlanta Hawks
179,Terance Mann,28.0,30,1,682,118,218,0.541,34,88,0.386,84,130,0.646,0.619,24,36,0.667,36,56,92,62,19,4,22,60,294,0,,mannte01,Atlanta Hawks
180,Georges Niang,31.0,28,2,644,120,272,0.441,76,184,0.413,44,88,0.5,0.581,23,29,0.793,13,70,83,44,11,7,34,72,339,0,,niangge01,Atlanta Hawks
181,Bogdan Bogdanović,32.0,24,0,598,83,224,0.371,44,146,0.301,39,78,0.5,0.469,30,34,0.882,12,54,66,49,20,6,37,57,240,0,,bogdabo01,Atlanta Hawks
182,Mouhamed Gueye,22.0,33,28,533,72,171,0.421,21,81,0.259,51,90,0.567,0.482,32,42,0.762,44,95,139,27,28,33,15,55,197,0,,gueyemo02,Atlanta Hawks
183,Keaton Wallace,25.0,31,5,501,65,162,0.401,27,82,0.329,38,80,0.475,0.485,11,11,1.0,7,43,50,81,28,9,33,39,168,1,,wallake01,Atlanta Hawks
184,Larry Nance Jr.,32.0,24,3,463,80,155,0.516,34,76,0.447,46,79,0.582,0.626,9,13,0.692,23,80,103,38,20,13,16,37,203,0,,nancela02,Atlanta Hawks
185,Dominick Barlow,21.0,35,4,375,60,113,0.531,7,27,0.259,53,86,0.616,0.562,21,33,0.636,35,50,85,19,9,16,5,47,148,0,,barlodo01,Atlanta Hawks
186,David Roddy,23.0,27,3,346,44,93,0.473,16,43,0.372,28,50,0.56,0.559,18,22,0.818,11,59,70,30,12,8,20,18,122,0,,roddyda01,Atlanta Hawks
187,Kobe Bufkin,21.0,10,0,124,18,47,0.383,4,19,0.211,14,28,0.5,0.426,13,18,0.722,5,16,21,17,3,2,8,9,53,0,,bufkiko01,Atlanta Hawks
188,Daeqwon Plowden,26.0,6,0,72,16,25,0.64,9,17,0.529,7,8,0.875,0.82,2,2,1.0,4,7,11,2,0,0,4,10,43,0,,plowdda01,Atlanta Hawks
189,Jacob Toppin,24.0,1,0,27,6,12,0.5,5,8,0.625,1,4,0.25,0.708,0,0,,1,3,4,2,0,0,1,0,17,0,,toppija01,Atlanta Hawks
190,Team Totals,,82,82,19781,3556,7528,0.472,1107,3089,0.358,2449,4439,0.552,0.546,1472,1900,0.775,974,2675,3649,2426,798,419,1205,1564,9691,2,,-9999,Atlanta Hawks
191,Devin Booker,28.0,75,75,2795,654,1420,0.461,183,551,0.332,471,869,0.542,0.525,432,483,0.894,76,229,305,529,67,16,220,198,1923,0,,bookede01,Phoenix Suns
192,Kevin Durant,36.0,62,62,2265,592,1124,0.527,160,372,0.43,432,752,0.574,0.598,303,361,0.839,23,351,374,263,50,77,190,104,1647,0,AS,duranke01,Phoenix Suns
193,Tyus Jones,28.0,81,58,2174,306,683,0.448,166,401,0.414,140,282,0.496,0.57,51,57,0.895,40,156,196,429,69,8,91,63,829,0,,jonesty01,Phoenix Suns
194,Royce O'Neale,31.0,75,22,1837,241,570,0.423,179,441,0.406,62,129,0.481,0.58,19,26,0.731,53,296,349,163,67,34,65,151,680,0,,onealro01,Phoenix Suns
195,Bradley Beal,31.0,53,38,1702,345,694,0.497,102,264,0.386,243,430,0.565,0.571,110,137,0.803,34,143,177,195,58,28,99,136,902,0,,bealbr01,Phoenix Suns
196,Grayson Allen,29.0,64,7,1544,219,489,0.448,149,350,0.426,70,139,0.504,0.6,93,114,0.816,34,160,194,137,54,19,75,95,680,0,,allengr01,Phoenix Suns
197,Ryan Dunn,22.0,74,44,1410,205,477,0.43,82,264,0.311,123,213,0.577,0.516,19,39,0.487,92,175,267,57,44,40,40,162,511,0,,dunnry01,Phoenix Suns
198,Mason Plumlee,34.0,74,21,1300,125,202,0.619,0,4,0.0,125,198,0.631,0.619,83,128,0.648,116,339,455,134,33,47,59,154,333,0,,plumlma01,Phoenix Suns
199,Oso Ighodaro,22.0,61,6,1045,113,187,0.604,0,2,0.0,113,185,0.611,0.604,29,50,0.58,66,156,222,71,28,29,39,102,255,0,,ighodos01,Phoenix Suns
200,Nick Richards,27.0,36,34,816,141,233,0.605,0,1,0.0,141,232,0.608,0.605,60,73,0.822,97,211,308,21,7,29,48,93,342,0,,richani01,Phoenix Suns
201,Jusuf Nurkić,30.0,25,23,592,74,163,0.454,19,59,0.322,55,104,0.529,0.512,48,69,0.696,46,183,229,47,23,16,57,78,215,0,,nurkiju01,Phoenix Suns
202,Monte Morris,29.0,45,0,571,83,195,0.426,31,86,0.36,52,109,0.477,0.505,36,42,0.857,12,55,67,73,20,3,21,23,233,0,,morrimo01,Phoenix Suns
203,Collin Gillespie,25.0,33,9,461,68,158,0.43,39,90,0.433,29,68,0.426,0.554,19,22,0.864,22,56,78,78,21,5,17,30,194,0,,gilleco01,Phoenix Suns
204,Bol Bol,25.0,36,10,448,96,183,0.525,32,93,0.344,64,90,0.711,0.612,20,26,0.769,20,84,104,22,9,25,20,20,244,0,,bolbo01,Phoenix Suns
205,Josh Okogie,26.0,25,1,351,56,114,0.491,16,42,0.381,40,72,0.556,0.561,22,32,0.688,32,40,72,14,21,10,16,28,150,0,,okogijo01,Phoenix Suns
206,Cody Martin,29.0,14,0,206,20,57,0.351,3,27,0.111,17,30,0.567,0.377,9,12,0.75,13,35,48,16,13,6,9,23,52,0,,martico01,Phoenix Suns
207,Damion Lee,32.0,25,0,144,27,74,0.365,9,37,0.243,18,37,0.486,0.426,20,21,0.952,3,17,20,11,6,0,10,6,83,0,,leeda03,Phoenix Suns
208,TyTy Washington Jr.,23.0,16,0,118,14,45,0.311,4,21,0.19,10,24,0.417,0.356,3,6,0.5,4,9,13,16,3,0,3,4,35,0,,washity02,Phoenix Suns
209,Jalen Bridges,23.0,8,0,30,2,7,0.286,2,7,0.286,0,0,,0.429,3,4,0.75,0,4,4,0,0,0,4,0,9,0,,bridgja01,Phoenix Suns
210,Vasilije Micić,31.0,5,0,21,0,0,,0,0,,0,0,,,0,0,,0,2,2,1,0,0,3,1,0,0,,micicva01,Phoenix Suns
211,Team Totals,,82,82,19830,3381,7075,0.478,1176,3112,0.378,2205,3963,0.556,0.561,1379,1702,0.81,783,2701,3484,2277,593,392,1086,1471,9317,0,,-9999,Phoenix Suns
212,Kentavious Caldwell-Pope,31.0,77,77,2279,239,544,0.439,113,330,0.342,126,214,0.589,0.543,82,95,0.863,33,136,169,136,99,34,62,136,673,0,,caldwke01,Orlando Magic
213,Franz Wagner,23.0,60,60,2023,537,1161,0.463,104,352,0.295,433,809,0.535,0.507,271,311,0.871,56,286,342,284,75,21,138,147,1449,0,,wagnefr01,Orlando Magic
214,Anthony Black,21.0,78,10,1887,262,620,0.423,62,195,0.318,200,425,0.471,0.473,150,197,0.761,52,178,230,240,86,48,139,166,736,0,,blackan01,Orlando Magic
215,Wendell Carter Jr.,25.0,68,51,1758,226,491,0.46,37,158,0.234,189,333,0.568,0.498,129,175,0.737,151,341,492,134,52,41,77,199,618,0,,cartewe01,Orlando Magic
216,Tristan Da Silva,23.0,74,38,1629,199,483,0.412,80,239,0.335,119,244,0.488,0.495,55,63,0.873,73,172,245,113,33,18,56,94,533,0,,dasiltr01,Orlando Magic
217,Paolo Banchero,22.0,46,46,1582,412,911,0.452,87,272,0.32,325,639,0.509,0.5,280,385,0.727,51,294,345,219,36,28,136,97,1191,0,,banchpa01,Orlando Magic
218,Goga Bitadze,25.0,70,42,1430,207,339,0.611,3,28,0.107,204,311,0.656,0.615,85,133,0.639,167,296,463,137,49,98,72,150,502,0,,bitadgo01,Orlando Magic
219,Cole Anthony,24.0,67,22,1234,230,543,0.424,77,218,0.353,153,325,0.471,0.494,93,113,0.823,46,158,204,191,45,32,103,151,630,0,,anthoco01,Orlando Magic
220,Jonathan Isaac,27.0,71,1,1090,134,324,0.414,39,151,0.258,95,173,0.549,0.474,73,107,0.682,120,194,314,40,61,80,33,90,380,0,,isaacjo01,Orlando Magic
221,Jalen Suggs,23.0,35,35,1002,197,481,0.41,76,242,0.314,121,239,0.506,0.489,97,110,0.882,23,118,141,129,51,33,102,98,567,0,,suggsja01,Orlando Magic
222,Caleb Houstan,22.0,58,6,788,80,190,0.421,64,160,0.4,16,30,0.533,0.589,15,17,0.882,19,56,75,35,22,6,13,62,239,0,,houstca01,Orlando Magic
223,Gary Harris,30.0,48,3,711,51,133,0.383,36,101,0.356,15,32,0.469,0.519,7,12,0.583,20,44,64,30,26,12,17,45,145,0,,harriga01,Orlando Magic
224,Jett Howard,21.0,60,0,701,98,262,0.374,55,186,0.296,43,76,0.566,0.479,16,23,0.696,20,50,70,44,13,11,36,68,267,0,,howarje01,Orlando Magic
225,Cory Joseph,33.0,50,16,612,62,154,0.403,39,107,0.364,23,47,0.489,0.529,14,18,0.778,17,57,74,72,26,4,18,50,177,0,,josepco01,Orlando Magic
226,Moritz Wagner,27.0,30,1,564,140,249,0.562,27,75,0.36,113,174,0.649,0.616,79,110,0.718,40,108,148,42,24,12,49,55,386,0,,wagnemo01,Orlando Magic
227,Trevelin Queen,27.0,31,2,430,56,147,0.381,22,77,0.286,34,70,0.486,0.456,18,21,0.857,26,28,54,38,31,10,22,38,152,0,,queentr01,Orlando Magic
228,Mac McClung,26.0,2,0,10,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,1,1,3,0,0,0,2,0,0,,mccluma01,Orlando Magic
229,Team Totals,,82,82,19730,3130,7034,0.445,921,2892,0.318,2209,4142,0.533,0.51,1464,1890,0.775,914,2517,3431,1887,729,488,1073,1648,8645,0,,-9999,Orlando Magic
230,Scottie Barnes,23.0,65,65,2134,474,1063,0.446,76,280,0.271,398,783,0.508,0.482,228,302,0.755,109,393,502,378,93,63,185,113,1252,1,,barnesc01,Toronto Raptors
231,RJ Barrett,24.0,58,58,1869,460,982,0.468,107,306,0.35,353,676,0.522,0.523,196,311,0.63,61,305,366,314,46,17,165,137,1223,2,,barrerj01,Toronto Raptors
232,Ochai Agbaji,24.0,64,45,1739,266,534,0.498,101,253,0.399,165,281,0.587,0.593,34,48,0.708,61,181,242,98,58,30,54,125,667,0,,agbajoc01,Toronto Raptors
233,Jakob Poeltl,29.0,57,56,1686,363,579,0.627,1,3,0.333,362,576,0.628,0.628,97,144,0.674,189,358,547,158,66,71,111,176,824,0,,poeltja01,Toronto Raptors
234,Gradey Dick,21.0,54,54,1587,265,647,0.41,114,326,0.35,151,321,0.47,0.498,133,155,0.858,44,149,193,98,48,10,83,120,777,0,,dickgr01,Toronto Raptors
235,Jamal Shead,22.0,75,11,1467,204,504,0.405,72,223,0.323,132,281,0.47,0.476,53,69,0.768,30,85,115,316,58,10,117,158,533,0,,sheadja01,Toronto Raptors
236,Jonathan Mogbo,23.0,63,18,1286,156,356,0.438,17,70,0.243,139,286,0.486,0.462,60,82,0.732,109,202,311,146,55,34,70,136,389,1,,mogbojo01,Toronto Raptors
237,Ja'Kobe Walter,20.0,52,18,1103,159,393,0.405,65,186,0.349,94,207,0.454,0.487,66,83,0.795,59,101,160,81,43,10,50,95,449,0,,walteja01,Toronto Raptors
238,Davion Mitchell,26.0,44,22,1080,106,244,0.434,42,117,0.359,64,127,0.504,0.52,25,37,0.676,16,69,85,203,31,8,78,116,279,0,,mitchda01,Toronto Raptors
239,Jamison Battle,23.0,59,10,1042,149,347,0.429,105,259,0.405,44,88,0.5,0.581,16,18,0.889,37,121,158,53,17,10,27,92,419,0,,battlja01,Toronto Raptors
240,Immanuel Quickley,25.0,33,33,918,184,438,0.42,85,225,0.378,99,213,0.465,0.517,111,128,0.867,16,101,117,191,23,4,58,61,564,0,,quickim01,Toronto Raptors
241,Chris Boucher,32.0,50,0,862,182,370,0.492,70,193,0.363,112,177,0.633,0.586,68,87,0.782,70,154,224,33,24,25,29,68,502,0,,bouchch01,Toronto Raptors
242,Orlando Robinson,24.0,35,8,713,109,244,0.447,16,47,0.34,93,197,0.472,0.48,50,63,0.794,86,120,206,68,14,15,45,94,284,0,,robinor01,Toronto Raptors
243,A.J. Lawson,24.0,26,2,486,80,190,0.421,33,101,0.327,47,89,0.528,0.508,43,63,0.683,20,66,86,31,13,6,15,44,236,0,,lawsoaj01,Toronto Raptors
244,Kelly Olynyk,33.0,24,2,383,59,118,0.5,19,43,0.442,40,75,0.533,0.581,34,43,0.791,25,64,89,56,16,8,35,59,171,0,,olynyke01,Toronto Raptors
245,Bruce Brown,28.0,18,0,353,57,131,0.435,11,36,0.306,46,95,0.484,0.477,26,29,0.897,17,51,68,28,17,3,19,26,151,0,,brownbr01,Toronto Raptors
246,Colin Castleton,24.0,11,4,288,32,64,0.5,2,8,0.25,30,56,0.536,0.516,13,18,0.722,34,42,76,18,6,8,21,32,79,0,,castlco01,Toronto Raptors
247,Garrett Temple,38.0,28,0,227,18,60,0.3,6,28,0.214,12,32,0.375,0.35,11,12,0.917,9,20,29,31,17,2,10,23,53,0,,templga01,Toronto Raptors
248,Jared Rhoden,25.0,10,2,215,40,79,0.506,12,37,0.324,28,42,0.667,0.582,22,25,0.88,12,26,38,14,9,2,8,19,114,0,,rhodeja01,Toronto Raptors
249,Cole Swider,25.0,8,0,156,22,58,0.379,15,42,0.357,7,16,0.438,0.509,0,1,0.0,5,20,25,2,4,2,4,11,59,0,,swideco01,Toronto Raptors
250,Bruno Fernando,26.0,17,2,147,26,49,0.531,0,0,,26,49,0.531,0.531,6,8,0.75,21,30,51,18,4,9,14,27,58,0,,fernabr01,Toronto Raptors
251,D.J. Carton,24.0,4,0,33,1,7,0.143,0,3,0.0,1,4,0.25,0.143,1,1,1.0,0,4,4,3,2,0,4,1,3,0,,cartodj01,Toronto Raptors
252,Ulrich Chomche,19.0,7,0,32,2,5,0.4,0,0,,2,5,0.4,0.4,1,2,0.5,4,4,8,2,0,1,2,5,5,0,,chomcul01,Toronto Raptors
253,Team Totals,,82,82,19806,3414,7462,0.458,969,2786,0.348,2445,4676,0.523,0.522,1294,1729,0.748,1034,2666,3700,2340,664,348,1204,1738,9091,4,,-9999,Toronto Raptors
254,Tyler Herro,25.0,77,77,2725,651,1378,0.472,251,670,0.375,400,708,0.565,0.563,287,327,0.878,35,364,399,424,69,17,198,85,1840,0,AS,herroty01,Miami Heat
255,Bam Adebayo,27.0,78,78,2674,540,1113,0.485,79,221,0.357,461,892,0.517,0.521,251,328,0.765,185,564,749,337,98,53,161,162,1410,1,DPOY-10,adebaba01,Miami Heat
256,Haywood Highsmith,28.0,74,42,1818,179,391,0.458,89,233,0.382,90,158,0.57,0.572,31,43,0.721,72,180,252,112,68,37,54,164,478,0,,highsha01,Miami Heat
257,Duncan Robinson,30.0,74,37,1785,290,663,0.437,190,483,0.393,100,180,0.556,0.581,47,53,0.887,18,149,167,176,40,6,86,135,817,0,,robindu01,Miami Heat
258,Terry Rozier,30.0,64,23,1658,248,635,0.391,91,308,0.295,157,327,0.48,0.462,92,108,0.852,44,194,238,167,37,14,78,73,679,0,,roziete01,Miami Heat
259,Kel'el Ware,20.0,64,36,1422,257,464,0.554,35,111,0.315,222,353,0.629,0.592,46,67,0.687,116,357,473,60,39,71,57,111,595,0,ROY-6,wareke01,Miami Heat
260,Jaime Jaquez Jr.,23.0,66,17,1368,213,462,0.461,37,119,0.311,176,343,0.513,0.501,107,142,0.754,84,206,290,166,61,14,98,81,570,1,,jaqueja01,Miami Heat
261,Nikola Jović,21.0,46,10,1156,172,377,0.456,78,210,0.371,94,167,0.563,0.56,72,87,0.828,26,154,180,131,38,13,60,82,494,0,,jovicni01,Miami Heat
262,Davion Mitchell,26.0,30,15,947,117,232,0.504,42,94,0.447,75,138,0.543,0.595,33,47,0.702,19,63,82,160,41,8,50,69,309,0,,mitchda01,Miami Heat
263,Alec Burks,33.0,49,14,863,115,271,0.424,88,207,0.425,27,64,0.422,0.587,38,49,0.776,15,109,124,55,28,7,29,37,356,0,,burksal01,Miami Heat
264,Pelle Larsson,23.0,55,8,782,89,203,0.438,32,95,0.337,57,108,0.528,0.517,41,61,0.672,28,64,92,65,32,7,24,91,251,0,,larsspe01,Miami Heat
265,Jimmy Butler,35.0,25,25,766,142,263,0.54,13,36,0.361,129,227,0.568,0.565,129,161,0.801,55,76,131,120,27,10,30,23,426,1,,butleji01,Miami Heat
266,Andrew Wiggins,29.0,17,17,546,115,251,0.458,36,100,0.36,79,151,0.523,0.53,57,78,0.731,23,49,72,56,20,17,43,31,323,0,,wiggian01,Miami Heat
267,Kyle Anderson,31.0,25,1,461,66,134,0.493,6,18,0.333,60,116,0.517,0.515,30,38,0.789,26,70,96,64,14,13,17,41,168,0,,anderky01,Miami Heat
268,Dru Smith,27.0,14,1,268,31,61,0.508,16,30,0.533,15,31,0.484,0.639,9,12,0.75,12,24,36,23,21,6,17,30,87,0,,smithdr01,Miami Heat
269,Kevin Love,36.0,23,9,251,41,115,0.357,24,67,0.358,17,48,0.354,0.461,16,23,0.696,22,72,94,22,15,4,14,21,122,0,,loveke01,Miami Heat
270,Josh Richardson,31.0,8,0,150,11,38,0.289,6,22,0.273,5,16,0.313,0.368,4,4,1.0,6,6,12,12,8,1,8,17,32,0,,richajo01,Miami Heat
271,Thomas Bryant,27.0,10,0,115,12,28,0.429,6,17,0.353,6,11,0.545,0.536,11,11,1.0,6,26,32,4,1,9,2,9,41,0,,bryanth01,Miami Heat
272,Keshad Johnson,23.0,16,0,98,18,26,0.692,3,7,0.429,15,19,0.789,0.75,4,9,0.444,6,22,28,4,5,4,4,11,43,0,,johnske10,Miami Heat
