team,year,round,details
Oklahoma City Thunder Future NBA Draft Picks,2029,Second,Own ; ATL; BOS; DEN if DEN has not conveyed a first potential 1st round pick to OKC by 2029 ; MIA 4 + 1
Oklahoma City Thunder Future NBA Draft Picks,2030,First,Own ; DEN 6-30 if not already settled and if DEN has conveyed a first potential 1st round pick to OKC by 2028 1 + 1
Oklahoma City Thunder Future NBA Draft Picks,2030,Second,Own ; DEN (via CHA) ; HOU; MIA 4
Oklahoma City Thunder Future NBA Draft Picks,2031,First,Own 1
Oklahoma City Thunder Future NBA Draft Picks,2031,Second,Own ; Less favorable of NOP and ORL (via ORL swap for NOP) 2
Oklahoma City Thunder Future NBA Draft Picks,2032,First,Own 1
Oklahoma City Thunder Future NBA Draft Picks,2032,Second,Own 1
Orlando Magic Future NBA Draft Picks,2026,First,"Two most favorable of (i) ORL, (ii) less favorable of PHX and WAS 1-8 [or (ii) PHX if WAS not conveyable] and (iii) MEM to MEM then least favorable of all to CHA (via WAS swap for PHX; via MEM swap of ORL for PHX or WAS; via MEM swap for PHX, WAS or ORL; via PHX to CHA) 0"
Orlando Magic Future NBA Draft Picks,2026,Second,"Second most favorable of ORL, DET and MIL; most favorable to BOS and least favorable to NYK (via MIL to ORL; via DET to LAC to ORL; via ORL to PHX to BRK to NYK) 1"
Orlando Magic Future NBA Draft Picks,2027,First,Own 1
Orlando Magic Future NBA Draft Picks,2027,Second,Less favorable of ORL and BOS then other to BOS (via ORL) 1
Orlando Magic Future NBA Draft Picks,2028,First,To POR (via MEM) 0
Orlando Magic Future NBA Draft Picks,2028,Second,Own ; More favorable of LAL and WAS (via LAL) 2
Orlando Magic Future NBA Draft Picks,2029,First,1-2 Own; 3-30 Own or MEM (via MEM swap for ORL) 1
Orlando Magic Future NBA Draft Picks,2029,Second,To MEM if ORL 1-2 in 2029 1
Orlando Magic Future NBA Draft Picks,2030,First,To MEM 0
Orlando Magic Future NBA Draft Picks,2030,Second,Own or swap for NOP ; MIL 2
Orlando Magic Future NBA Draft Picks,2031,First,Own 1
Orlando Magic Future NBA Draft Picks,2031,Second,More favorable of ORL and NOP then other to OKC (via ORL swap for NOP) 1
Orlando Magic Future NBA Draft Picks,2032,First,Own 1
Orlando Magic Future NBA Draft Picks,2032,Second,Own 1
Philadelphia Sixers Future NBA Draft Picks,2026,First,1-4 Own; 5-30 to OKC 1
Philadelphia Sixers Future NBA Draft Picks,2026,Second,"Most favorable of PHL, OKC and DAL to OKC; second most favorable to PHX and least favorable to WAS (via OKC to HOU to PHX; via OKC to MIA to SAN to WAS) 0"
Philadelphia Sixers Future NBA Draft Picks,2027,First,1-4 Own; 5-30 to OKC if not already settled 1
Philadelphia Sixers Future NBA Draft Picks,2027,Second,To OKC if PHL has not conveyed 1st round pick to OKC by 2027 ; More favorable of GOS and PHX (via WAS) 1 + 1
Philadelphia Sixers Future NBA Draft Picks,2028,First,"1-8 Own; if (i) PHL 9-30 , if PHL conveys 1st round pick to OKC in 2026, is third most favorable and (ii) NYK is most or second most favorable of PHL 9-30 if conveyable , PHX, BRK and NYK, then most and third most favorable to BRK; or most / two most favorable to BRK in all other scenarios ; least favorable of PHX, BRK and NYK to NYK if NYK and / or if PHL 9-30 , if conveyable, is less favorable than PHX and BRK; or second most favorable of PHX, BRK and NYK to NYK in all other scenarios ; more favorable of (i) WAS and (ii) least / less favorable of PHL 9-30 if conveyable , PHX and BRK to WAS then least favorable of all to PHX [WAS can then swap with MIL] (via BRK swap of BRK or PHL for PHX; via BRK swap of BRK or PHX for NYK; via WAS swap for PHX, BRK or PHL) ; LAC 1 + 1"
Philadelphia Sixers Future NBA Draft Picks,2028,Second,To BRK if PHL does not convey 1st round pick to BRK in 2028 ; DET 56-60; GOS (via POR to WAS) 1 + 2
Philadelphia Sixers Future NBA Draft Picks,2029,First,Own or swap for LAC 4-30 1
Philadelphia Sixers Future NBA Draft Picks,2029,Second,Own 1
Philadelphia Sixers Future NBA Draft Picks,2030,First,Own 1
Philadelphia Sixers Future NBA Draft Picks,2030,Second,To DAL ; More favorable of PHX and POR (via WAS) ; WAS 2
Philadelphia Sixers Future NBA Draft Picks,2031,First,Own 1
Philadelphia Sixers Future NBA Draft Picks,2031,Second,Own 1
Philadelphia Sixers Future NBA Draft Picks,2032,First,Own 1
Philadelphia Sixers Future NBA Draft Picks,2032,Second,Own 1
Phoenix Suns Future NBA Draft Picks,2026,First,"More favorable of PHX and WAS 1-8 to WAS [or neither to WAS if WAS not conveyable] ; two most favorable of (i) less favorable of PHX and WAS 1-8 [or (ii) PHX if WAS not conveyable] , (ii) MEM and (iii) ORL to MEM then least favorable of all to CHA (via WAS swap for PHX; via MEM swap of ORL for PHX or WAS; via MEM swap for PHX, WAS or ORL; via PHX to CHA) 0"
Phoenix Suns Future NBA Draft Picks,2026,Second,"To WAS ; Second most favorable of OKC, DAL and PHL (via OKC to HOU) 1"
Phoenix Suns Future NBA Draft Picks,2027,First,"To HOU (via BRK) ; Least favorable of UTH, CLE and MIN (via CLE and MIN to UTH) 1"
Phoenix Suns Future NBA Draft Picks,2027,Second,More favorable of PHX and GOS to PHL then other to WAS (via WAS) 0
Phoenix Suns Future NBA Draft Picks,2028,First,"Least favorable of PHX, PHL 9-30 if PHL conveys 1st round pick to OKC in 2026, WAS and BRK; more favorable of (i) WAS and (ii) least / less favorable of PHX, PHL 9-30 if conveyable, and BRK to WAS; if (i) PHL 9-30 , if conveyable, is third most favorable and (ii) NYK is most or second most favorable of PHX, BRK and PHL 9-30 if conveyable, and NYK, then most and third most favorable to BRK; or most / two most favorable to BRK in all other scenarios ; least favorable of PHX, BRK and NYK to NYK if NYK and / or if PHL 9-30 , if conveyable, is less favorable than PHX and BRK; or second most favorable of PHX, BRK and NYK to NYK in all other scenarios [WAS can then swap with MIL] (via BRK swap of BRK or PHL for PHX; via BRK swap of BRK or PHX for NYK; via WAS swap for PHX, BRK or PHL) 1"
Phoenix Suns Future NBA Draft Picks,2028,Second,More favorable of PHX and IND to IND then other to NYK (via IND) 0
Phoenix Suns Future NBA Draft Picks,2029,First,"Two most favorable of PHX, DAL and HOU to HOU then other to BRK (via DAL and PHX to BRK; via DAL or PHX to HOU; via HOU swap for DAL or PHX) 0"
Phoenix Suns Future NBA Draft Picks,2029,Second,Own (via OKC to CHA) 1
Phoenix Suns Future NBA Draft Picks,2030,First,"Least favorable of PHX, WAS and MEM; more favorable of PHX and WAS to WAS; more favorable of (i) MEM and (ii) less favorable of PHX and WAS to MEM (via WAS swap for PHX; via MEM swap for PHX or WAS) 1"
Phoenix Suns Future NBA Draft Picks,2030,Second,More favorable of PHX and POR to PHL then other to WAS (via WAS) 0
Phoenix Suns Future NBA Draft Picks,2031,First,To UTH 0
Phoenix Suns Future NBA Draft Picks,2031,Second,To CHA 0
Phoenix Suns Future NBA Draft Picks,2032,First,Frozen (through 2027-28) 1
Phoenix Suns Future NBA Draft Picks,2032,Second,Less favorable of PHX and HOU then other to MIN (via PHX) 1
Portland Trail Blazers Future NBA Draft Picks,2026,First,1-14 Own; 15-30 to CHI 1
Portland Trail Blazers Future NBA Draft Picks,2026,Second,"Most favorable of POR, NOP, MIN and NYK to BOS; less favorable of POR and NOP to SAN; less favorable of (i) more favorable of POR and NOP and (ii) more favorable of MIN and NYK to WAS (via NOP to POR to NOP; via POR to DET; via MIN to NYK; via NOP to SAN; via DET to BOS; via DET to WAS) ; MEM 43-60 (via UTH to GOS) 1"
Portland Trail Blazers Future NBA Draft Picks,2027,First,1-14 Own; 15-30 to CHI if not already settled 1
Portland Trail Blazers Future NBA Draft Picks,2027,Second,Less favorable of POR and NOP then other to CHA [POR may convey to HOU; see following] ; then less favorable of POR and NOP to HOU if either or both 56-60 (via POR to NOP to CHA; via POR to BOS to HOU) ; ATL (via BOS to MEM) ; MIN (via HOU to OKC to NYK) 2 + 1
Portland Trail Blazers Future NBA Draft Picks,2028,First,1-14 Own or swap for MIL; 15-30 to CHI if not already settled ; or Own or swap for MIL if POR has conveyed 1st round pick to CHI by 2027 [WAS can then swap with MIL] ; ORL (via MEM) 1 + 1
Portland Trail Blazers Future NBA Draft Picks,2028,Second,To CHI if POR has not conveyed 1st round pick to CHI by 2028 ; SAC (via CHI to SAC to MEM) 1 + 1
Portland Trail Blazers Future NBA Draft Picks,2029,First,"Most and least favorable of POR, BOS and MIL; second most favorable to WAS (via BOS to POR; via MIL to POR; via POR to WAS) 2"
Portland Trail Blazers Future NBA Draft Picks,2029,Second,To MEM (via PHL to IND) ; Less favorable of IND and WAS (via IND to NYK) 1
Portland Trail Blazers Future NBA Draft Picks,2030,First,Own or swap for MIL 1
Portland Trail Blazers Future NBA Draft Picks,2030,Second,More favorable of POR and PHX to PHL then other to WAS (via WAS) ; NYK 1
Portland Trail Blazers Future NBA Draft Picks,2031,First,Own 1
Portland Trail Blazers Future NBA Draft Picks,2031,Second,Own 1
Portland Trail Blazers Future NBA Draft Picks,2032,First,Own 1
Portland Trail Blazers Future NBA Draft Picks,2032,Second,Own 1
Sacramento Kings Future NBA Draft Picks,2026,First,Own 1
Sacramento Kings Future NBA Draft Picks,2026,Second,Own ; CHA 31-55 (via NYK to ATL to SAN) 1 + 1
Sacramento Kings Future NBA Draft Picks,2027,First,Own ; SAN 1-16 1 + 1
Sacramento Kings Future NBA Draft Picks,2027,Second,To OKC if SAN 1-16 in 2027 ; CHA if SAN 17-30 in 2027 (via NYK to ATL to SAN) 2
Sacramento Kings Future NBA Draft Picks,2028,First,Own 1
Sacramento Kings Future NBA Draft Picks,2028,Second,To POR (via CHI to SAC to MEM) 0
Sacramento Kings Future NBA Draft Picks,2029,First,Own 1
Sacramento Kings Future NBA Draft Picks,2029,Second,"To HOU (via WAS) ; Least favorable of DET, MIL and NYK (via MIL to BRK to DET; via NYK to DET) 1"
Sacramento Kings Future NBA Draft Picks,2030,First,Own 1
Sacramento Kings Future NBA Draft Picks,2030,Second,To SAN (via IND) 0
Sacramento Kings Future NBA Draft Picks,2031,First,Own or SAN (via SAN swap for SAC) ; MIN (via SAN) 2
Sacramento Kings Future NBA Draft Picks,2031,Second,To SAN 0
Sacramento Kings Future NBA Draft Picks,2032,First,Own 1
Sacramento Kings Future NBA Draft Picks,2032,Second,Own 1
San Antonio Spurs Future NBA Draft Picks,2026,First,Own or swap for ATL [ATL may convey to CLE] 1
San Antonio Spurs Future NBA Draft Picks,2026,Second,More favorable of (i) SAN and (ii) less favorable of IND and MIA then least favorable of all to MIN (via MIA to IND; via SAN swap for IND or MIA) ; Less favorable of NOP and POR (via NOP to POR to NOP to SAN) ; UTH 31-55 (via MIN) 2 + 1
San Antonio Spurs Future NBA Draft Picks,2027,First,1-16 to SAC; 17-30 to OKC (via SAC) ; ATL 1
San Antonio Spurs Future NBA Draft Picks,2027,Second,"More favorable of (i) SAN and (ii) least favorable of OKC, HOU, IND and MIA then least favorable of all to MIA (via HOU to DET to OKC; via MIA to OKC to UTH to SAN to MIA) 1"
San Antonio Spurs Future NBA Draft Picks,2028,First,Own or swap for BOS 2-30 1
San Antonio Spurs Future NBA Draft Picks,2028,Second,Own ; BOS 31-45 if BOS 1 in 2028 ; MIN; NOP 3 + 1
San Antonio Spurs Future NBA Draft Picks,2029,First,Own 1
San Antonio Spurs Future NBA Draft Picks,2029,Second,Own ; LAC (via PHL) ; NOP 3
San Antonio Spurs Future NBA Draft Picks,2030,First,"Most / more favorable of SAN, DAL and MIN 2-30; less favorable of SAN and DAL to DAL; less favorable of (i) MIN 2-30 and (ii) more favorable of SAN and DAL [or MIN if MIN not conveyable] to MIN (via SAN swap for DAL; via SAN swap of SAN or DAL for MIN) 1"
San Antonio Spurs Future NBA Draft Picks,2030,Second,Own ; CLE; SAC (via IND) 3
San Antonio Spurs Future NBA Draft Picks,2031,First,Own or swap for SAC 1
San Antonio Spurs Future NBA Draft Picks,2031,Second,Own ; SAC 2
San Antonio Spurs Future NBA Draft Picks,2032,First,Own 1
San Antonio Spurs Future NBA Draft Picks,2032,Second,Own 1
Toronto Raptors Future NBA Draft Picks,2026,First,Own 1
Toronto Raptors Future NBA Draft Picks,2026,Second,31-55 Own; 56-60 to IND ; LAL (via CLE to MIA) 1 + 1
Toronto Raptors Future NBA Draft Picks,2027,First,Own 1
Toronto Raptors Future NBA Draft Picks,2027,Second,Own 1
Toronto Raptors Future NBA Draft Picks,2028,First,Own 1
Toronto Raptors Future NBA Draft Picks,2028,Second,Own 1
Toronto Raptors Future NBA Draft Picks,2029,First,Own 1
Toronto Raptors Future NBA Draft Picks,2029,Second,Own 1
Toronto Raptors Future NBA Draft Picks,2030,First,Own 1
Toronto Raptors Future NBA Draft Picks,2030,Second,Own 1
Toronto Raptors Future NBA Draft Picks,2031,First,Own 1
Toronto Raptors Future NBA Draft Picks,2031,Second,To NOP 0
Toronto Raptors Future NBA Draft Picks,2032,First,Own 1
Toronto Raptors Future NBA Draft Picks,2032,Second,Own 1
Utah Jazz Future NBA Draft Picks,2026,First,"Most / more favorable of UTH 1-8, MIN and CLE; less favorable of UTH 1-8 and MIN [or MIN if UTH not conveyable] to MIN; less favorable of (i) CLE and (ii) more favorable of UTH 1-8 and MIN [or CLE if UTH not conveyable] to CLE [CLE may convey to ATL] ; UTH 9-30 to OKC (via UTH swap for MIN; via UTH swap of UTH or MIN for CLE) 1"
Utah Jazz Future NBA Draft Picks,2026,Second,31-55 to SAN; 56-60 to MIL (via MIN to SAN) 0
Utah Jazz Future NBA Draft Picks,2027,First,"Two most favorable of UTH, CLE and MIN then other to PHX (via CLE and MIN to UTH) ; LAL 5-30 2 + 1"
Utah Jazz Future NBA Draft Picks,2027,Second,To IND (via CLE) ; LAC (via ATL to LAC) ; LAL if LAL does not convey 1st round pick to UTH in 2027 1 + 1
Utah Jazz Future NBA Draft Picks,2028,First,Own or swap for CLE [CLE may convey UTH to ATL] 1
Utah Jazz Future NBA Draft Picks,2028,Second,"To OKC ; Least favorable of (i) DET 31-55, (ii) less favorable of CHA and LAC (via CHA to DAL to DET) , (iii) MIA if DAL conveys 1st round pick to CHA in 2027 (via SAN to DAL to DET) and (iv) NYK (via DET) 1"
Utah Jazz Future NBA Draft Picks,2029,First,"Most / two most favorable of UTH, CLE and MIN 6-30 then other to CHA (via CLE and MIN to UTH to PHX) 1 + 1"
Utah Jazz Future NBA Draft Picks,2029,Second,Own ; MIN if MIN does not convey 1st round pick to UTH in 2029 1 + 1
Utah Jazz Future NBA Draft Picks,2030,First,Own 1
Utah Jazz Future NBA Draft Picks,2030,Second,Less favorable of UTH and LAC then other to CHA (via LAC to UTH) 1
Utah Jazz Future NBA Draft Picks,2031,First,Own ; PHX 2
Utah Jazz Future NBA Draft Picks,2031,Second,Own 1
Utah Jazz Future NBA Draft Picks,2032,First,Own 1
Utah Jazz Future NBA Draft Picks,2032,Second,To WAS 0
Washington Wizards Future NBA Draft Picks,2026,First,"1-8 Own or swap for PHX; two most favorable of (i) less favorable of WAS 1-8 and PHX [or (ii) PHX if WAS not conveyable] , (ii) MEM and (iii) ORL to MEM then least favorable of all to CHA (via WAS swap for PHX; via MEM swap of ORL for PHX or WAS; via MEM swap for PHX, WAS or ORL; via PHX to CHA) ; WAS 9-30 to NYK (via HOU to OKC) ; Least / less favorable of OKC, HOU 5-30 and LAC (via OKC to PHL) 1 + 1"
Washington Wizards Future NBA Draft Picks,2026,Second,"To NYK if WAS does not convey 1st round pick to NYK in 2026 (via HOU to OKC) ; Less favorable of (i) more favorable of MIN and NYK and (ii) more favorable of NOP and POR (via MIN to NYK; via NOP to POR to NOP; via POR to DET to WAS) ; Least favorable of OKC, DAL and PHL (via OKC to MIA to SAN) ; PHX 3 + 1"
Washington Wizards Future NBA Draft Picks,2027,First,Own 1
Washington Wizards Future NBA Draft Picks,2027,Second,"To NYK if WAS does not convey 1st round pick to NYK in 2026 (via HOU to OKC) ; More favorable of BRK and DAL (via DAL to BRK to DET; via DET to WAS) ; CHI (in separate, protected conveyances; via WAS to NOP) ; Less favorable of GOS and PHX 3 + 1"
Washington Wizards Future NBA Draft Picks,2028,First,"More favorable of (i) more favorable of (a) WAS and (b) least / less favorable of BRK, PHL 9-30 if PHL conveys 1st round pick to OKC in 2026, and PHX and (ii) less favorable of MIL and POR 1-14 if POR has not conveyed 1st round pick to CHI by 2027 [or (ii) MIL if POR not conveyable] then less favorable of (i) and (ii) to MIL; or More favorable of (i) more favorable of (a) WAS and (b) least / less favorable of BRK, PHL 9-30 if PHL conveys 1st round pick to OKC in 2026, and PHX and (ii) less favorable of MIL and POR if POR has conveyed 1st round pick to CHI by 2027, then less favorable of (i) and (ii) to MIL; least favorable of WAS, PHL 9-30 if PHL does not convey 1st round pick to BRK in 2027 and if PHL has conveyed 1st round pick to OKC by 2026 , BRK and PHX to PHX (via POR swap for MIL; via BRK swap of BRK or PHL for PHX; via WAS swap for PHX, BRK or PHL; via WAS swap of WAS, BRK, PHL or PHX for MIL or POR) 1"
Washington Wizards Future NBA Draft Picks,2028,Second,Less favorable of WAS and LAL then other to ORL (via WAS to LAL to ORL; via LAL to WAS) ; DEN 34-60 (via SAN to SAC) 1 + 1
Washington Wizards Future NBA Draft Picks,2029,First,"Own ; Second most favorable of POR, BOS and MIL (via BOS to POR; via MIL to POR; via POR to WAS) 2"
Washington Wizards Future NBA Draft Picks,2029,Second,More favorable of WAS and IND to IND then other to POR (via IND to NYK) ; HOU (via OKC) ; LAL 2
Washington Wizards Future NBA Draft Picks,2030,First,More favorable of WAS and PHX; more favorable of (i) MEM and (ii) less favorable of WAS and PHX to MEM then least favorable of all to PHX (via WAS swap for PHX; via MEM swap for WAS or PHX) ; GOS 21-30 1 + 1
Washington Wizards Future NBA Draft Picks,2030,Second,To PHL ; GOS if GOS does not convey 1st round pick to WAS in 2030 ; Less favorable of PHX and POR 1 + 1
Washington Wizards Future NBA Draft Picks,2031,First,Own 1
Washington Wizards Future NBA Draft Picks,2031,Second,Own ; More favorable of MIA and IND (via MIA swap for IND; via UTH) 2
Washington Wizards Future NBA Draft Picks,2032,First,Own 1
Washington Wizards Future NBA Draft Picks,2032,Second,Own ; UTH 2
