,,Salary,Salary,Salary,Salary,Salary,Salary
Rk,Team,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31
1,Cleveland Cavaliers,$216783273,$228438753,$188402742,$90008684,$51033510,
2,Phoenix Suns,$216335344,$157282687,$145252043,$11544023,,
3,Boston Celtics,$203315617,$175241115,$184368863,$184895875,$71446914,
4,New York Knicks,$199779184,$167478483,$177217150,$91692629,,
5,Toronto Raptors,$188135873,$187852445,$132088564,$89315254,$51033510,
6,Miami Heat,$187577247,$128615356,$63771228,$62713579,,
7,Orlando Magic,$187386061,$178379291,$160084766,$161536702,$77733510,
8,Denver Nuggets,$186659884,$194094907,$164208943,$94623207,,
9,Philadelphia 76ers,$183029274,$173671608,$184284545,$129103239,,
10,New Orleans Pelicans,$180638539,$188790934,$125048063,$49613307,,
11,Portland Trail Blazers,$179975374,$115870102,$100172040,$7730820,,
12,San Antonio Spurs,$177846013,$102968566,$66220713,$61506533,,
13,Oklahoma City Thunder,$177250234,$154519040,$58115237,$38286708,,
14,Los Angeles Lakers,$173860612,$86079494,$22225569,,,
15,Indiana Pacers,$172960615,$172873834,$158912872,$67472848,,
16,Golden State Warriors,$170506402,$177342702,$23523485,,,
17,Sacramento Kings,$165909251,$150090895,$82280148,$5979481,,
18,Dallas Mavericks,$162205892,$138857511,$104432712,$19178146,,
19,Charlotte Hornets,$159406667,$139734962,$68085793,$65819032,,
20,Atlanta Hawks,$154949251,$124291252,$70880602,$36042814,$30000000,
21,Memphis Grizzlies,$148806136,$104904590,$64517997,$8342743,,
22,Washington Wizards,$148433716,$58645946,$53717899,$19205352,,
23,Utah Jazz,$147344904,$104346912,$83875399,$72928823,,
24,Minnesota Timberwolves,$146038026,$141167990,$137278691,$93153766,,
25,Milwaukee Bucks,$145251296,$83504194,$65273677,,,
26,Chicago Bulls,$141275854,$53066150,$31557043,$26230464,,
27,Houston Rockets,$134973881,$59009691,$51381075,$39036697,$39036697,
28,Los Angeles Clippers,$133482457,$112000440,$26503795,$5448356,,
29,Detroit Pistons,$119160580,$84437469,$73825808,$47940570,$51033510,
30,Brooklyn Nets,$114323891,$110981143,$58678544,$33479052,,